,xmin,ymin,xmax,ymax,numgranules,is_downloaded,geometry
111,-69,-89,-68,-88,0,False,"POLYGON ((-68 -89, -68 -88, -69 -88, -69 -89, -68 -89))"
112,-68,-89,-67,-88,0,False,"POLYGON ((-67 -89, -67 -88, -68 -88, -68 -89, -67 -89))"
113,-67,-89,-66,-88,0,False,"POLYGON ((-66 -89, -66 -88, -67 -88, -67 -89, -66 -89))"
114,-66,-89,-65,-88,0,False,"POLYGON ((-65 -89, -65 -88, -66 -88, -66 -89, -65 -89))"
115,-65,-89,-64,-88,0,False,"POLYGON ((-64 -89, -64 -88, -65 -88, -65 -89, -64 -89))"
116,-64,-89,-63,-88,0,False,"POLYGON ((-63 -89, -63 -88, -64 -88, -64 -89, -63 -89))"
117,-63,-89,-62,-88,0,False,"POLYGON ((-62 -89, -62 -88, -63 -88, -63 -89, -62 -89))"
118,-62,-89,-61,-88,0,False,"POLYGON ((-61 -89, -61 -88, -62 -88, -62 -89, -61 -89))"
119,-61,-89,-60,-88,0,False,"POLYGON ((-60 -89, -60 -88, -61 -88, -61 -89, -60 -89))"
120,-60,-89,-59,-88,0,False,"POLYGON ((-59 -89, -59 -88, -60 -88, -60 -89, -59 -89))"
121,-59,-89,-58,-88,0,False,"POLYGON ((-58 -89, -58 -88, -59 -88, -59 -89, -58 -89))"
122,-58,-89,-57,-88,0,False,"POLYGON ((-57 -89, -57 -88, -58 -88, -58 -89, -57 -89))"
123,-57,-89,-56,-88,0,False,"POLYGON ((-56 -89, -56 -88, -57 -88, -57 -89, -56 -89))"
124,-56,-89,-55,-88,0,False,"POLYGON ((-55 -89, -55 -88, -56 -88, -56 -89, -55 -89))"
125,-55,-89,-54,-88,0,False,"POLYGON ((-54 -89, -54 -88, -55 -88, -55 -89, -54 -89))"
126,-54,-89,-53,-88,0,False,"POLYGON ((-53 -89, -53 -88, -54 -88, -54 -89, -53 -89))"
127,-53,-89,-52,-88,0,False,"POLYGON ((-52 -89, -52 -88, -53 -88, -53 -89, -52 -89))"
128,-52,-89,-51,-88,0,False,"POLYGON ((-51 -89, -51 -88, -52 -88, -52 -89, -51 -89))"
129,-51,-89,-50,-88,0,False,"POLYGON ((-50 -89, -50 -88, -51 -88, -51 -89, -50 -89))"
130,-50,-89,-49,-88,0,False,"POLYGON ((-49 -89, -49 -88, -50 -88, -50 -89, -49 -89))"
131,-49,-89,-48,-88,0,False,"POLYGON ((-48 -89, -48 -88, -49 -88, -49 -89, -48 -89))"
